customer_id,customer_full_name,customer_phone_number,customer_email,customer_age,customer_created_ts,last_purchase_items,last_purchase_value,total_value,seniority_days,is_high_value
6459,Bethany Williamson,682.897.6288,bethany.williamson@gmail.com,63,2025-04-26 20:08:47.660249,Phone|Monitor|Keyboard,22.15,153.98,333,0
3823,Joanne Savage,001-215-321-0933x580,joanne.savage@hotmail.com,25,2022-03-18 17:35:45.992726,Monitor|Phone|Mouse|Laptop,1629.47,6005.25,1468,1
7894,Sarah Brooks,9999199679,sarah.brooks@yahoo.com,32,2025-02-26 11:41:43.008488,Keyboard|Mouse,99.65,220.44,393,0
6653,Mary Burch,3687359765,mary.burch@yahoo.com,21,2021-07-26 01:40:42.460286,Laptop|Keyboard|Phone|Mouse,887.64,1472.26,1704,0
8583,Wesley Silva,709.640.3206x8775,wesley.silva@yahoo.com,58,2024-07-06 10:31:27.228736,Phone|Laptop,1979.36,18883.06,628,0
3754,Amanda Snyder,547-476-7927x3132,amanda.snyder@gmail.com,62,2022-10-17 08:18:18.632877,Keyboard|Monitor,318.54,1513.92,1256,0
8242,Jeffery Morton,217-902-7342x5040,jeffery.morton@yahoo.com,57,2024-06-09 18:40:41.406985,Monitor|Keyboard|Laptop,1565.78,6504.47,654,0
9104,Nancy Goodwin,+1-472-291-9000,nancy.goodwin@gmail.com,42,2022-09-12 21:55:18.604269,Keyboard,1125.18,3217.35,1290,0
9637,Michael Goodman,665-860-4032,michael.goodman@gmail.com,41,2022-03-14 22:10:53.191653,Mouse|Phone|Monitor|Laptop,832.21,8260.14,1472,0
6672,Dave Rodriguez,8604264668,dave.rodriguez@gmail.com,24,2023-01-18 20:47:05.908788,Mouse,1014.96,3345.43,1162,0
4607,Christopher Byrd,(985)503-2572x4788,christopher.byrd@yahoo.com,33,2026-01-02 15:35:11.834623,Monitor|Desk Lamp,269.86,2498.14,83,0
7858,Jessica Martinez,001-341-464-0080x745,jessica.martinez@hotmail.com,34,2023-04-01 20:06:12.159901,Keyboard,898.21,6942.73,1089,0
3307,Madison Smith,910.524.0154x5645,madison.smith@gmail.com,43,2022-06-20 15:50:21.135474,Laptop|Desk Lamp|Mouse,127.9,805.8,1375,0
5663,Samantha Ramos,496-914-7884x532,samantha.ramos@hotmail.com,49,2023-03-13 20:24:33.792470,Desk Lamp|Mouse|Phone|Monitor,1025.83,5035.65,1108,0
6493,Kelsey Scott,001-468-320-9591x670,kelsey.scott@hotmail.com,54,2025-09-11 14:07:21.482373,Keyboard|Phone|Monitor,1079.4,6996.56,196,0
9226,Christina Wright,001-677-441-5586x615,christina.wright@hotmail.com,26,2026-01-18 13:04:37.892971,Desk Lamp|Phone,1732.89,11248.68,67,0
3756,Alyssa Pearson,8379705532,alyssa.pearson@hotmail.com,43,2022-05-17 01:16:30.983479,Laptop|Phone,1890.6,17398.96,1409,0
3148,Charles Lawrence,9079233323,charles.lawrence@hotmail.com,65,2024-05-09 02:08:08.076387,Keyboard|Mouse|Desk Lamp,441.82,4215.4,686,0
3755,Leslie Powell,9259963246,leslie.powell@yahoo.com,25,2021-05-04 03:43:36.312749,Laptop|Mouse,324.06,2426.42,1787,0
